Clause,Requirement,Status,Owner,Evidence,Notes
4 - Context,Scope of the food safety management system defined and written down,todo,,,
4 - Context,"Interested parties and their requirements listed (parents, MoPH, suppliers)",todo,,,
5 - Leadership,"Food safety policy written, signed and displayed in the kitchen",todo,,,
5 - Leadership,Roles and responsibilities for food safety assigned,todo,,,
6 - Planning,Risks and opportunities for the FSMS assessed with actions,todo,,,
6 - Planning,"Food safety objectives set and tracked (complaints, temp logs)",todo,,,
7 - Support,Team trained on hygiene and allergen handling; records kept,todo,,,
7 - Support,"Calibrated thermometers for fridges, freezers and blast chiller",todo,,,
7 - Support,"Documented information controlled (versions, who can edit)",todo,,,
8 - Operation - PRPs,"Cleaning & sanitation schedule per area, signed daily",todo,,,
8 - Operation - PRPs,Pest control contract and inspection log,todo,,,
8 - Operation - PRPs,Supplier approval list with certificates for every ingredient,todo,,,
8 - Operation - PRPs,"Personal hygiene rules: uniforms, handwash stations, illness policy",todo,,,
8 - Operation - PRPs,Water potability tested and recorded,todo,,,
8 - Operation - HACCP,Flow diagram for each product family (puree / finger food / cake),todo,,,
8 - Operation - HACCP,"Hazard analysis per step (biological, chemical, physical, allergen)",todo,,,
8 - Operation - HACCP,"CCPs set with critical limits (cook core temp, chill time, cold chain)",todo,,,
8 - Operation - HACCP,Monitoring records for each CCP with corrective actions,todo,,,
8 - Operation,Full lot traceability: ingredient lot to batch to order,todo,,,
8 - Operation,FEFO stock rotation enforced at picking (earliest expiry first),todo,,,
8 - Operation,Allergen labelling on every pack; nut-aware age programs flagged,todo,,,
8 - Operation,Recall / withdrawal procedure written and tested once,todo,,,
8 - Operation,"Cold-chain delivery: insulated boxes, max transit time defined",todo,,,
9 - Evaluation,Customer complaints reviewed weekly and linked to lots,todo,,,
9 - Evaluation,Internal audit plan - at least one full audit per year,todo,,,
9 - Evaluation,Management review meeting with minutes,todo,,,
10 - Improvement,Corrective actions tracked to closure with root cause,todo,,,
10 - Improvement,"FSMS updated when menu, suppliers or process change",todo,,,
